"WOZ-objecten naar waardeklasse; 1997 - 2011"
""
"";"";"";"";"Perioden"
"Waardeklasse WOZ-objecten";"Regio's";"Onderwerp";"";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010*";"2011*"
"Minder dan 50 000 euro";"Drenthe (PV)";"Niet-woningen; niet bewoond";"aantal";"11031";"8366";"8496";"8397";"7660";"8704";"8982";"9124";"8002";"8298";"9207";"10209";"10468";"10230";"10685"
"Minder dan 50 000 euro";"Overijssel (PV)";"Totaal WOZ-objecten";"aantal";"163627";"164595";"164622";"165305";"61761";"62768";"64731";"65137";"41648";"42252";"41251";"40763";"41206";"40620";"40815"
"Minder dan 50 000 euro";"Overijssel (PV)";"WOZ-objecten woningen";"aantal";"125379";"124203";"124233";"124485";"25329";"25273";"24637";"24905";"3312";"3540";"2450";"1737";"1590";"1317";"1164"
"Minder dan 50 000 euro";"Overijssel (PV)";"Recreatiewoningen en overige woningen";"aantal";"13178";"19748";"19854";"19914";"20702";"20725";"20818";"20632";"20098";"20135";"19703";"19580";"19487";"19307";"19416"
"Minder dan 50 000 euro";"Overijssel (PV)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"1478";"1378";"1236";"1223";"359";"529";"527";"458";"229";"252";"210";"212";"254";"158";"233"
"Minder dan 50 000 euro";"Overijssel (PV)";"Niet-woningen; niet bewoond";"aantal";"23592";"19266";"19299";"19683";"15371";"16241";"18749";"19142";"18009";"18325";"18888";"19234";"19875";"19838";"20002"
"Minder dan 50 000 euro";"Flevoland (PV)";"Totaal WOZ-objecten";"aantal";"29846";"30400";"30322";"31334";"10551";"11158";"11230";"11629";"6770";"7740";"7748";"7426";"8594";"7466";"7604"
"Minder dan 50 000 euro";"Flevoland (PV)";"WOZ-objecten woningen";"aantal";"22942";"23214";"22816";"23841";"3988";"4345";"4323";"4114";"330";"707";"622";"430";"1034";"222";"144"
"Minder dan 50 000 euro";"Flevoland (PV)";"Recreatiewoningen en overige woningen";"aantal";"2220";"2447";"2452";"2597";"2525";"2903";"2888";"3032";"2584";"2786";"2867";"2748";"2839";"2766";"2753"
"Minder dan 50 000 euro";"Flevoland (PV)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"409";"431";"84";"76";"35";"35";"38";"39";"24";"28";"27";"24";"19";"20";"16"
"Minder dan 50 000 euro";"Flevoland (PV)";"Niet-woningen; niet bewoond";"aantal";"4275";"4308";"4970";"4820";"4003";"3875";"3981";"4444";"3832";"4219";"4232";"4224";"4702";"4458";"4691"
"Minder dan 50 000 euro";"Gelderland (PV)";"Totaal WOZ-objecten";"aantal";"182334";"183200";"185849";"186728";"69523";"70882";"73991";"75167";"61687";"61537";"60931";"60289";"61086";"58323";"59838"
"Minder dan 50 000 euro";"Gelderland (PV)";"WOZ-objecten woningen";"aantal";"124844";"125953";"127829";"130687";"16916";"15579";"16126";"15739";"7194";"7094";"6287";"4938";"5511";"3971";"4327"
"Minder dan 50 000 euro";"Gelderland (PV)";"Recreatiewoningen en overige woningen";"aantal";"25157";"26058";"26726";"25694";"23924";"25553";"26164";"27184";"25956";"28811";"28337";"29341";"29805";"29794";"30338"
"Minder dan 50 000 euro";"Gelderland (PV)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"4535";"1548";"1563";"1554";"840";"821";"831";"624";"521";"495";"423";"382";"382";"244";"275"
"Minder dan 50 000 euro";"Gelderland (PV)";"Niet-woningen; niet bewoond";"aantal";"27798";"29641";"29731";"28793";"27843";"28929";"30870";"31620";"28016";"25137";"25884";"25628";"25388";"24314";"24898"
"Minder dan 50 000 euro";"Utrecht (PV)";"Totaal WOZ-objecten";"aantal";"67051";"67035";"68332";"69497";"34326";"34982";"35414";"36024";"31966";"32196";"31322";"31432";"30753";"30547";"30910"
"Minder dan 50 000 euro";"Utrecht (PV)";"WOZ-objecten woningen";"aantal";"36345";"36261";"37171";"38483";"6453";"5707";"6343";"6420";"3506";"2991";"4111";"4005";"3374";"3351";"2152"
"Minder dan 50 000 euro";"Utrecht (PV)";"Recreatiewoningen en overige woningen";"aantal";"14832";"16763";"17587";"17823";"17530";"17373";"17355";"17435";"17918";"18850";"17438";"17718";"17680";"17490";"18487"
"Minder dan 50 000 euro";"Utrecht (PV)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"346";"515";"483";"506";"178";"188";"184";"178";"122";"126";"89";"70";"45";"47";"48"
"Minder dan 50 000 euro";"Utrecht (PV)";"Niet-woningen; niet bewoond";"aantal";"15528";"13496";"13091";"12685";"10165";"11714";"11532";"11991";"10420";"10229";"9684";"9639";"9654";"9659";"10223"
"Minder dan 50 000 euro";"Noord-Holland (PV)";"Totaal WOZ-objecten";"aantal";"419943";"423166";"423388";"424763";"108672";"109364";"109858";"110172";"92781";"94857";"96062";"92986";"90535";"88833";"90733"
"Minder dan 50 000 euro";"Noord-Holland (PV)";"WOZ-objecten woningen";"aantal";"323101";"325030";"324079";"323312";"25588";"23269";"23116";"22827";"6914";"8343";"10697";"8036";"6294";"6715";"6423"
"Minder dan 50 000 euro";"Noord-Holland (PV)";"Recreatiewoningen en overige woningen";"aantal";"39298";"47192";"56928";"57766";"57487";"59072";"59154";"59458";"61574";"62077";"61549";"61140";"61503";"61276";"61545"
"Minder dan 50 000 euro";"Noord-Holland (PV)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"1179";"1177";"1144";"1063";"545";"533";"517";"503";"396";"426";"292";"212";"183";"119";"129"
