"WOZ-objecten naar waardeklasse; 1997 - 2011"
""
"";"";"";"";"Perioden"
"Waardeklasse WOZ-objecten";"Regio's";"Onderwerp";"";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010*";"2011*"
"Minder dan 50 000 euro";"Leeuwarden (SG)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"";"";"";"301";"52";"50";"44";"49";"30";"26";"5";"5";"5";"5";"6"
"Minder dan 50 000 euro";"Leeuwarden (SG)";"Niet-woningen; niet bewoond";"aantal";"";"";"";"2175";"2008";"2116";"2250";"2253";"2210";"2381";"2499";"2633";"2634";"3079";"3387"
"Minder dan 50 000 euro";"Maastricht (SG)";"Totaal WOZ-objecten";"aantal";"";"";"";"16947";"7586";"8119";"7821";"7737";"6488";"6035";"6035";"5951";"6003";"5981";"5778"
"Minder dan 50 000 euro";"Maastricht (SG)";"WOZ-objecten woningen";"aantal";"";"";"";"10666";"1748";"1710";"1726";"1711";"589";"560";"293";"293";"261";"271";"321"
"Minder dan 50 000 euro";"Maastricht (SG)";"Recreatiewoningen en overige woningen";"aantal";"";"";"";"4892";"4840";"4827";"4460";"4273";"4347";"4362";"4283";"4257";"4276";"4221";"3961"
"Minder dan 50 000 euro";"Maastricht (SG)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"";"";"";"87";"36";"40";"42";"32";"22";"20";"6";"7";"5";"15";"15"
"Minder dan 50 000 euro";"Maastricht (SG)";"Niet-woningen; niet bewoond";"aantal";"";"";"";"1302";"962";"1542";"1593";"1721";"1530";"1093";"1453";"1394";"1461";"1474";"1481"
"Minder dan 50 000 euro";"Leeuwarden (GA)";"Totaal WOZ-objecten";"aantal";"";"";"";"33123";"17835";"18005";"17843";"17784";"4231";"4550";"4610";"4500";"4359";"4695";"4633"
"Minder dan 50 000 euro";"Leeuwarden (GA)";"WOZ-objecten woningen";"aantal";"";"";"";"29550";"14666";"14837";"14609";"14570";"1014";"1105";"969";"652";"555";"540";"407"
"Minder dan 50 000 euro";"Leeuwarden (GA)";"Recreatiewoningen en overige woningen";"aantal";"";"";"";"2303";"2161";"2162";"2219";"2209";"2210";"2259";"2295";"2437";"2406";"2410";"2421"
"Minder dan 50 000 euro";"Leeuwarden (GA)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"";"";"";"155";"29";"26";"21";"26";"4";"4";"-";"1";"1";"1";"2"
"Minder dan 50 000 euro";"Leeuwarden (GA)";"Niet-woningen; niet bewoond";"aantal";"";"";"";"1115";"979";"980";"994";"979";"1003";"1182";"1346";"1410";"1397";"1744";"1803"
"Minder dan 50 000 euro";"Maastricht (GA)";"Totaal WOZ-objecten";"aantal";"";"";"";"13975";"6292";"6256";"5908";"5859";"5045";"5006";"4711";"4648";"4594";"4521";"4283"
"Minder dan 50 000 euro";"Maastricht (GA)";"WOZ-objecten woningen";"aantal";"";"";"";"8819";"1289";"1250";"1252";"1244";"410";"366";"162";"174";"145";"143";"168"
"Minder dan 50 000 euro";"Maastricht (GA)";"Recreatiewoningen en overige woningen";"aantal";"";"";"";"4465";"4542";"4529";"4159";"3975";"4025";"4039";"4000";"3961";"3992";"3945";"3675"
"Minder dan 50 000 euro";"Maastricht (GA)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"";"";"";"30";"17";"17";"17";"2";"3";"2";"1";"1";"1";"1";"1"
"Minder dan 50 000 euro";"Maastricht (GA)";"Niet-woningen; niet bewoond";"aantal";"";"";"";"661";"444";"460";"480";"638";"607";"599";"548";"512";"456";"432";"439"
"50 000 tot 100 000 euro";"Noord-Nederland (LD)";"Totaal WOZ-objecten";"aantal";"302007";"306836";"310779";"314230";"355317";"356492";"356494";"356831";"191187";"190760";"122685";"88564";"78751";"78065";"80466"
"50 000 tot 100 000 euro";"Noord-Nederland (LD)";"WOZ-objecten woningen";"aantal";"274469";"278904";"282640";"285686";"333329";"334256";"333868";"333830";"174196";"173454";"107258";"73235";"63901";"63056";"64982"
"50 000 tot 100 000 euro";"Noord-Nederland (LD)";"Recreatiewoningen en overige woningen";"aantal";"5481";"5865";"6033";"6416";"8258";"8397";"8490";"8653";"5439";"5517";"4095";"3988";"3719";"3795";"4084"
"50 000 tot 100 000 euro";"Noord-Nederland (LD)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"11490";"11170";"11104";"10865";"3828";"3626";"3469";"3300";"1112";"1089";"732";"645";"579";"534";"521"
"50 000 tot 100 000 euro";"Noord-Nederland (LD)";"Niet-woningen; niet bewoond";"aantal";"10567";"10897";"11002";"11263";"9902";"10213";"10667";"11048";"10440";"10700";"10600";"10696";"10552";"10680";"10879"
"50 000 tot 100 000 euro";"Oost-Nederland (LD)";"Totaal WOZ-objecten";"aantal";"684802";"698309";"710402";"719268";"442502";"444936";"446495";"446513";"121096";"123122";"91442";"78751";"74218";"69241";"74712"
"50 000 tot 100 000 euro";"Oost-Nederland (LD)";"WOZ-objecten woningen";"aantal";"646963";"660361";"671879";"680005";"412294";"413982";"414697";"414321";"94138";"94928";"64129";"51785";"47539";"43606";"47560"
"50 000 tot 100 000 euro";"Oost-Nederland (LD)";"Recreatiewoningen en overige woningen";"aantal";"6094";"5098";"5272";"5628";"8667";"8680";"9046";"9301";"7256";"7862";"8019";"7855";"7719";"7244";"8083"
"50 000 tot 100 000 euro";"Oost-Nederland (LD)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"12280";"12063";"11823";"11601";"2416";"2454";"2362";"2288";"949";"913";"672";"589";"618";"480";"491"
"50 000 tot 100 000 euro";"Oost-Nederland (LD)";"Niet-woningen; niet bewoond";"aantal";"19465";"20787";"21428";"22034";"19125";"19820";"20390";"20603";"18753";"19419";"18622";"18522";"18342";"17911";"18578"
"50 000 tot 100 000 euro";"West-Nederland (LD)";"Totaal WOZ-objecten";"aantal";"1568631";"1583229";"1604728";"1623581";"1130485";"1132402";"1132416";"1129071";"394843";"393824";"302009";"253144";"226297";"213176";"231041"
"50 000 tot 100 000 euro";"West-Nederland (LD)";"WOZ-objecten woningen";"aantal";"1492188";"1505481";"1525113";"1541329";"1062928";"1062786";"1062136";"1058391";"336807";"335359";"247589";"199901";"175260";"164268";"179553"
"50 000 tot 100 000 euro";"West-Nederland (LD)";"Recreatiewoningen en overige woningen";"aantal";"14474";"13909";"14944";"16440";"16365";"16852";"17130";"17009";"12756";"13077";"11567";"11515";"11016";"11030";"11459"
"50 000 tot 100 000 euro";"West-Nederland (LD)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"10001";"10578";"10340";"10066";"3362";"3332";"3184";"3061";"1242";"1138";"650";"646";"535";"467";"414"
"50 000 tot 100 000 euro";"West-Nederland (LD)";"Niet-woningen; niet bewoond";"aantal";"51968";"53261";"54331";"55746";"47830";"49432";"49966";"50610";"44038";"44250";"42203";"41082";"39486";"37411";"39615"
"50 000 tot 100 000 euro";"Zuid-Nederland (LD)";"Totaal WOZ-objecten";"aantal";"750056";"760906";"769992";"777252";"394192";"396157";"395510";"394527";"120253";"121618";"90223";"83128";"79353";"75767";"85600"
"50 000 tot 100 000 euro";"Zuid-Nederland (LD)";"WOZ-objecten woningen";"aantal";"717414";"727613";"736793";"743410";"365103";"366218";"365288";"363423";"96660";"98287";"68240";"60994";"57680";"54739";"63782"
"50 000 tot 100 000 euro";"Zuid-Nederland (LD)";"Recreatiewoningen en overige woningen";"aantal";"4332";"4143";"3762";"4037";"9055";"9179";"9262";"9274";"5467";"5081";"4761";"4959";"4831";"4825";"4841"
"50 000 tot 100 000 euro";"Zuid-Nederland (LD)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"9020";"8799";"8363";"8175";"1951";"1896";"1815";"1757";"868";"832";"626";"536";"544";"527";"544"
"50 000 tot 100 000 euro";"Zuid-Nederland (LD)";"Niet-woningen; niet bewoond";"aantal";"19290";"20351";"21074";"21630";"18083";"18864";"19145";"20073";"17258";"17418";"16596";"16639";"16298";"15676";"16433"
"50 000 tot 100 000 euro";"Leeuwarden (SG)";"Totaal WOZ-objecten";"aantal";"";"";"";"23644";"31760";"31784";"31978";"31847";"26893";"27014";"18586";"14441";"13630";"13153";"12995"
"50 000 tot 100 000 euro";"Leeuwarden (SG)";"WOZ-objecten woningen";"aantal";"";"";"";"21637";"30205";"30200";"30333";"30220";"25674";"25759";"17570";"13377";"12562";"12060";"11902"
"50 000 tot 100 000 euro";"Leeuwarden (SG)";"Recreatiewoningen en overige woningen";"aantal";"";"";"";"374";"448";"447";"449";"447";"240";"236";"29";"55";"89";"85";"75"
"50 000 tot 100 000 euro";"Leeuwarden (SG)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"";"";"";"674";"321";"309";"284";"284";"81";"74";"23";"17";"11";"12";"12"
"50 000 tot 100 000 euro";"Leeuwarden (SG)";"Niet-woningen; niet bewoond";"aantal";"";"";"";"959";"786";"828";"912";"896";"898";"945";"964";"992";"968";"996";"1006"
"50 000 tot 100 000 euro";"Maastricht (SG)";"Totaal WOZ-objecten";"aantal";"";"";"";"45861";"23222";"23312";"23006";"22995";"8655";"8663";"7033";"5867";"5787";"5925";"6534"
"50 000 tot 100 000 euro";"Maastricht (SG)";"WOZ-objecten woningen";"aantal";"";"";"";"44261";"21945";"21995";"21673";"21599";"7503";"7494";"5937";"4888";"4804";"4967";"5470"
"50 000 tot 100 000 euro";"Maastricht (SG)";"Recreatiewoningen en overige woningen";"aantal";"";"";"";"35";"186";"185";"187";"182";"155";"153";"160";"129";"150";"152";"161"
"50 000 tot 100 000 euro";"Maastricht (SG)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"";"";"";"332";"75";"73";"73";"56";"34";"35";"19";"14";"12";"18";"18"
"50 000 tot 100 000 euro";"Maastricht (SG)";"Niet-woningen; niet bewoond";"aantal";"";"";"";"1233";"1016";"1059";"1073";"1158";"963";"981";"917";"836";"821";"788";"885"
"50 000 tot 100 000 euro";"Leeuwarden (GA)";"Totaal WOZ-objecten";"aantal";"";"";"";"10025";"19442";"19481";"19447";"19384";"21677";"21769";"15630";"12144";"11520";"10934";"10608"
"50 000 tot 100 000 euro";"Leeuwarden (GA)";"WOZ-objecten woningen";"aantal";"";"";"";"9126";"18648";"18672";"18594";"18551";"20864";"20933";"14989";"11511";"10936";"10330";"10006"
"50 000 tot 100 000 euro";"Leeuwarden (GA)";"Recreatiewoningen en overige woningen";"aantal";"";"";"";"38";"123";"123";"126";"125";"177";"177";"6";"7";"7";"7";"12"
"50 000 tot 100 000 euro";"Leeuwarden (GA)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"";"";"";"217";"161";"146";"125";"129";"33";"29";"12";"6";"2";"3";"2"
"50 000 tot 100 000 euro";"Leeuwarden (GA)";"Niet-woningen; niet bewoond";"aantal";"";"";"";"644";"510";"540";"602";"579";"603";"630";"623";"620";"575";"594";"588"
"50 000 tot 100 000 euro";"Maastricht (GA)";"Totaal WOZ-objecten";"aantal";"";"";"";"34888";"19558";"19598";"19283";"19289";"6739";"6673";"5449";"4526";"4382";"4512";"4974"
"50 000 tot 100 000 euro";"Maastricht (GA)";"WOZ-objecten woningen";"aantal";"";"";"";"33902";"18834";"18860";"18532";"18491";"6087";"5999";"4833";"3973";"3839";"3978";"4390"
"50 000 tot 100 000 euro";"Maastricht (GA)";"Recreatiewoningen en overige woningen";"aantal";"";"";"";"10";"11";"10";"12";"8";"13";"13";"9";"9";"20";"22";"28"
"50 000 tot 100 000 euro";"Maastricht (GA)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"";"";"";"128";"50";"49";"49";"27";"10";"10";"11";"9";"8";"8";"6"
"50 000 tot 100 000 euro";"Maastricht (GA)";"Niet-woningen; niet bewoond";"aantal";"";"";"";"848";"663";"679";"690";"763";"629";"651";"596";"535";"515";"504";"550"
"100 000 tot 150 000 euro";"Noord-Nederland (LD)";"Totaal WOZ-objecten";"aantal";"74842";"78808";"82550";"85977";"173283";"175358";"177531";"179129";"242775";"243600";"264502";"250296";"239374";"238493";"246485"
"100 000 tot 150 000 euro";"Noord-Nederland (LD)";"WOZ-objecten woningen";"aantal";"59895";"63493";"66864";"70086";"156080";"158130";"160206";"161679";"226810";"227509";"249056";"235766";"225358";"224605";"232714"
"100 000 tot 150 000 euro";"Noord-Nederland (LD)";"Recreatiewoningen en overige woningen";"aantal";"1898";"2100";"2213";"2242";"3326";"3433";"3555";"3797";"5372";"5591";"5971";"5196";"4583";"4652";"4684"
"100 000 tot 150 000 euro";"Noord-Nederland (LD)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"6715";"6729";"6866";"6847";"6869";"6668";"6391";"6153";"3165";"2953";"1665";"1276";"1049";"879";"851"
"100 000 tot 150 000 euro";"Noord-Nederland (LD)";"Niet-woningen; niet bewoond";"aantal";"6334";"6486";"6607";"6802";"7008";"7127";"7379";"7500";"7428";"7547";"7810";"8058";"8384";"8357";"8236"
"100 000 tot 150 000 euro";"Oost-Nederland (LD)";"Totaal WOZ-objecten";"aantal";"222315";"229705";"237289";"244185";"485381";"492031";"497024";"501812";"372392";"374090";"314214";"267551";"250176";"248079";"272240"
"100 000 tot 150 000 euro";"Oost-Nederland (LD)";"WOZ-objecten woningen";"aantal";"194697";"201856";"209283";"216002";"462473";"468762";"473442";"477810";"349598";"350944";"291207";"244598";"226919";"225497";"249451"
"100 000 tot 150 000 euro";"Oost-Nederland (LD)";"Recreatiewoningen en overige woningen";"aantal";"1446";"1037";"1042";"1299";"3212";"3421";"3615";"3928";"5959";"6212";"6744";"6832";"7059";"6846";"6904"
"100 000 tot 150 000 euro";"Oost-Nederland (LD)";"Niet-woningen; gedeeltelijk bewoond";"aantal";"14332";"14327";"14044";"13836";"6486";"6350";"6045";"5789";"2449";"2359";"1666";"1302";"1118";"793";"698"
"100 000 tot 150 000 euro";"Oost-Nederland (LD)";"Niet-woningen; niet bewoond";"aantal";"11840";"12485";"12920";"13048";"13210";"13498";"13922";"14285";"14386";"14575";"14597";"14819";"15080";"14943";"15187"
"100 000 tot 150 000 euro";"West-Nederland (LD)";"Totaal WOZ-objecten";"aantal";"499596";"512715";"530894";"544702";"1133250";"1145441";"1154388";"1162628";"913619";"913700";"837098";"719768";"661224";"643688";"679367"
