id,occurred_at,city,latitude,longitude,depth,magnitude,gasfield_id,created_at,updated_at,knmi_guid,region,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
105,1996-08-25 22:24:00,Geelbroek,52.945,6.57,3.0,1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,1996-09-02 05:20:00,Roden,53.147,6.422,3.0,2.1,,,,,Roden,80.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,1996-10-16 05:09:00,Amen,52.941,6.61,3.0,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,1996-11-16 03:33:00,Zeerijp,53.355,6.755,3.0,1.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,1996-11-17 04:59:00,Wachtum,52.724,6.732,3.0,2.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,1996-11-30 20:26:00,Nietap,53.165,6.41,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,1996-12-06 16:46:00,Roswinkel,52.835,7.053,1.5,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,1996-12-16 16:01:00,Wildervank,53.072,6.815,3.0,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,1996-12-16 16:06:00,Wildervank,53.078,6.822,3.0,-0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,1996-12-26 19:52:00,Overschild,53.261,6.765,3.0,-0.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,1996-12-28 00:54:00,Bunne,53.107,6.505,3.0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,1996-12-28 18:16:00,Roswinkel,52.834,7.043,2.0,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,1996-12-28 23:39:00,Bunne,53.111,6.502,3.0,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,1997-01-08 01:20:00,Westeremden,53.338,6.713,3.0,1.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,1997-01-14 21:13:00,Ekehaar,52.943,6.577,3.0,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,1997-01-16 00:12:00,Roswinkel,52.835,7.046,2.0,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,1997-01-24 04:00:00,Zuidlaren,53.079,6.678,3.0,0.6,,,,,Zuidlaren,94.0,98.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,
122,1997-02-17 07:20:00,Zijldijk,53.387,6.752,3.0,1.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,1997-02-17 11:16:00,Geelbroek,52.947,6.568,3.0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,1997-02-19 21:53:00,Roswinkel,52.832,7.038,2.0,3.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,1997-02-26 19:31:00,Laar (Duitsland),52.642,6.803,3.0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,1997-03-02 15:25:00,Pieterzijl,53.288,6.267,3.0,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,1997-03-08 14:29:00,Borgercompagnie,53.106,6.815,3.0,-0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,1997-03-25 00:13:00,Overschild,53.252,6.748,3.0,-0.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,1997-04-01 00:34:00,Emmen,52.768,6.873,3.0,1.4,,,,,Emmen,69.0,69.0,70.0,70.0,100.0,100.0,101.0,102.0,151.0,152.0,167.0,178.0,185.0,185.0,177.0,173.0,164.0,153.0,147.0,148.0,147.0,150.0,163.0,174.0,186.0,208.0,240.0,251.0
130,1997-04-09 22:21:00,Noordbroek,53.2,6.865,3.0,0.5,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,1997-04-17 20:28:00,Roswinkel,52.834,7.053,2.0,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,1997-04-29 18:16:00,Schildwolde,53.249,6.803,3.0,1.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,1997-05-04 02:42:00,Meedhuizen,53.3,6.93,3.0,1.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,1997-05-04 04:29:00,Hoogezand,53.144,6.737,3.0,0.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,1997-05-19 15:43:00,Roswinkel,52.836,7.053,2.0,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,1997-06-06 19:39:00,Tjuchem,53.292,6.875,3.0,1.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,1997-06-19 23:19:00,Zeerijp,53.364,6.753,3.0,1.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,1997-06-20 00:45:00,Roswinkel,52.831,7.055,2.0,1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,1997-06-21 00:30:00,Zuidlaarderveen,53.094,6.752,3.5,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,1997-07-09 06:23:00,Roswinkel,52.833,7.053,2.0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,1997-07-17 02:56:00,Annen,53.061,6.717,3.0,-0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,1997-07-23 06:44:00,Overschild,53.247,6.753,3.0,1.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,1997-08-18 04:42:00,Roswinkel,52.834,7.05,2.0,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,1997-08-18 05:17:00,Roswinkel,52.834,7.05,2.0,2.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,1997-08-22 10:27:00,Eexterveen,53.063,6.813,3.0,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,1997-08-23 00:01:00,Eexterveen,53.063,6.813,3.0,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,1997-08-23 19:39:00,Lageland,53.239,6.683,3.0,1.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,1997-09-13 21:30:00,Loppersum,53.338,6.747,3.0,1.1,1.0,,,,Loppersum,49.0,50.0,50.0,50.0,87.0,87.0,88.0,88.0,139.0,140.0,156.0,171.0,177.0,177.0,174.0,171.0,165.0,152.0,145.0,143.0,144.0,149.0,161.0,175.0,,,,
149,1997-09-14 19:39:00,Annen,53.045,6.74,3.0,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,1997-11-01 22:56:00,Uithuizen,53.427,6.705,3.0,1.4,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,1997-11-03 18:12:00,Donderen,53.108,6.513,3.0,1.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,1997-11-04 19:55:00,Wirdum,53.328,6.793,3.0,1.7,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,1997-11-15 16:22:00,Borgercompagnie,53.104,6.822,3.0,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,1997-11-20 17:35:00,Slochteren,53.206,6.792,3.0,1.2,1.0,,,,Slochteren,62.0,62.0,63.0,64.0,107.0,108.0,109.0,109.0,170.0,171.0,183.0,200.0,205.0,210.0,204.0,195.0,189.0,184.0,185.0,187.0,187.0,,,,,,,
155,1997-11-26 02:35:00,Overschild,53.254,6.765,3.0,0.2,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,1997-12-03 14:47:00,Tjuchem,53.279,6.897,3.0,1.8,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,1997-12-03 15:01:00,Siddeburen,53.244,6.858,3.0,1.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,1997-12-07 07:02:00,Zuidlaren,53.075,6.702,3.0,0.3,,,,,Zuidlaren,94.0,98.0,99.0,,,,,,,,,,,,,,,,,,,,,,,,,
159,1997-12-23 06:21:00,Farmsum,53.316,7.015,3.0,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,1998-01-08 08:11:00,Amen,52.937,6.597,3.0,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,1998-01-22 10:31:00,Assen,52.984,6.547,3.5,1.1,,,,,Assen,66.0,68.0,68.0,69.0,94.0,95.0,97.0,98.0,148.0,149.0,161.0,173.0,181.0,182.0,181.0,177.0,170.0,162.0,159.0,159.0,168.0,172.0,184.0,195.0,210.0,237.0,278.0,284.0
162,1998-01-28 21:33:00,Roswinkel,52.833,7.042,2.0,2.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,1998-01-28 22:34:00,Roswinkel,52.833,7.037,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
