id,occurred_at,city,latitude,longitude,depth,magnitude,gasfield_id,year,magnitude_category
109,1996-11-17 04:59:00,Wachtum,52.724,6.732,3.0,2.2,,1996,2
110,1996-11-30 20:26:00,Nietap,53.165,6.41,3.0,1.0,,1996,1
111,1996-12-06 16:46:00,Roswinkel,52.835,7.053,1.5,1.6,,1996,1
112,1996-12-16 16:01:00,Wildervank,53.072,6.815,3.0,0.5,,1996,0
113,1996-12-16 16:06:00,Wildervank,53.078,6.822,3.0,-0.1,,1996,0
114,1996-12-26 19:52:00,Overschild,53.261,6.765,3.0,-0.2,1.0,1996,0
115,1996-12-28 00:54:00,Bunne,53.107,6.505,3.0,1.9,,1996,1
116,1996-12-28 18:16:00,Roswinkel,52.834,7.043,2.0,2.7,,1996,2
117,1996-12-28 23:39:00,Bunne,53.111,6.502,3.0,1.8,,1996,1
118,1997-01-08 01:20:00,Westeremden,53.338,6.713,3.0,1.5,1.0,1997,1
119,1997-01-14 21:13:00,Ekehaar,52.943,6.577,3.0,0.7,,1997,0
120,1997-01-16 00:12:00,Roswinkel,52.835,7.046,2.0,2.4,,1997,2
121,1997-01-24 04:00:00,Zuidlaren,53.079,6.678,3.0,0.6,,1997,0
122,1997-02-17 07:20:00,Zijldijk,53.387,6.752,3.0,1.6,1.0,1997,1
123,1997-02-17 11:16:00,Geelbroek,52.947,6.568,3.0,1.2,,1997,1
124,1997-02-19 21:53:00,Roswinkel,52.832,7.038,2.0,3.4,,1997,3
125,1997-02-26 19:31:00,Laar (Duitsland),52.642,6.803,3.0,1.2,,1997,1
126,1997-03-02 15:25:00,Pieterzijl,53.288,6.267,3.0,1.3,,1997,1
127,1997-03-08 14:29:00,Borgercompagnie,53.106,6.815,3.0,-0.8,,1997,0
128,1997-03-25 00:13:00,Overschild,53.252,6.748,3.0,-0.2,1.0,1997,0
129,1997-04-01 00:34:00,Emmen,52.768,6.873,3.0,1.4,,1997,1
130,1997-04-09 22:21:00,Noordbroek,53.2,6.865,3.0,0.5,1.0,1997,0
131,1997-04-17 20:28:00,Roswinkel,52.834,7.053,2.0,0.8,,1997,0
132,1997-04-29 18:16:00,Schildwolde,53.249,6.803,3.0,1.4,1.0,1997,1
133,1997-05-04 02:42:00,Meedhuizen,53.3,6.93,3.0,1.1,1.0,1997,1
134,1997-05-04 04:29:00,Hoogezand,53.144,6.737,3.0,0.8,1.0,1997,0
135,1997-05-19 15:43:00,Roswinkel,52.836,7.053,2.0,1.3,,1997,1
136,1997-06-06 19:39:00,Tjuchem,53.292,6.875,3.0,1.2,1.0,1997,1
137,1997-06-19 23:19:00,Zeerijp,53.364,6.753,3.0,1.8,1.0,1997,1
138,1997-06-20 00:45:00,Roswinkel,52.831,7.055,2.0,1.8,,1997,1
139,1997-06-21 00:30:00,Zuidlaarderveen,53.094,6.752,3.5,1.9,,1997,1
140,1997-07-09 06:23:00,Roswinkel,52.833,7.053,2.0,1.2,,1997,1
141,1997-07-17 02:56:00,Annen,53.061,6.717,3.0,-0.7,,1997,0
142,1997-07-23 06:44:00,Overschild,53.247,6.753,3.0,1.2,1.0,1997,1
143,1997-08-18 04:42:00,Roswinkel,52.834,7.05,2.0,1.6,,1997,1
144,1997-08-18 05:17:00,Roswinkel,52.834,7.05,2.0,2.1,,1997,2
145,1997-08-22 10:27:00,Eexterveen,53.063,6.813,3.0,0.2,,1997,0
146,1997-08-23 00:01:00,Eexterveen,53.063,6.813,3.0,0.6,,1997,0
147,1997-08-23 19:39:00,Lageland,53.239,6.683,3.0,1.6,1.0,1997,1
148,1997-09-13 21:30:00,Loppersum,53.338,6.747,3.0,1.1,1.0,1997,1
149,1997-09-14 19:39:00,Annen,53.045,6.74,3.0,0.4,,1997,0
150,1997-11-01 22:56:00,Uithuizen,53.427,6.705,3.0,1.4,1.0,1997,1
151,1997-11-03 18:12:00,Donderen,53.108,6.513,3.0,1.4,,1997,1
152,1997-11-04 19:55:00,Wirdum,53.328,6.793,3.0,1.7,1.0,1997,1
153,1997-11-15 16:22:00,Borgercompagnie,53.104,6.822,3.0,0.3,,1997,0
154,1997-11-20 17:35:00,Slochteren,53.206,6.792,3.0,1.2,1.0,1997,1
155,1997-11-26 02:35:00,Overschild,53.254,6.765,3.0,0.2,1.0,1997,0
156,1997-12-03 14:47:00,Tjuchem,53.279,6.897,3.0,1.8,1.0,1997,1
157,1997-12-03 15:01:00,Siddeburen,53.244,6.858,3.0,1.3,1.0,1997,1
158,1997-12-07 07:02:00,Zuidlaren,53.075,6.702,3.0,0.3,,1997,0
159,1997-12-23 06:21:00,Farmsum,53.316,7.015,3.0,1.3,,1997,1
160,1998-01-08 08:11:00,Amen,52.937,6.597,3.0,1.2,,1998,1
161,1998-01-22 10:31:00,Assen,52.984,6.547,3.5,1.1,,1998,1
162,1998-01-28 21:33:00,Roswinkel,52.833,7.042,2.0,2.7,,1998,2
163,1998-01-28 22:34:00,Roswinkel,52.833,7.037,2.0,2.0,,1998,2
164,1998-01-31 08:39:00,Overschild,53.236,6.745,3.0,0.7,1.0,1998,0
165,1998-02-05 21:11:00,Meedhuizen,53.291,6.935,3.0,1.1,1.0,1998,1
166,1998-02-15 07:24:00,Zeerijp,53.356,6.773,3.0,2.6,1.0,1998,2
167,1998-03-29 06:06:00,Loppersum,53.345,6.73,3.0,1.3,1.0,1998,1
168,1998-04-19 08:00:00,Loppersum,53.339,6.723,3.0,1.5,1.0,1998,1
169,1998-04-19 15:32:00,Uithuizen,53.425,6.682,3.0,1.6,1.0,1998,1
170,1998-04-28 02:02:00,Veendam,53.107,6.865,3.0,0.4,,1998,0
171,1998-04-30 01:08:00,Scharmer,53.197,6.707,3.0,0.9,1.0,1998,0
172,1998-05-18 22:03:00,Uithuizermeeden,53.404,6.732,3.0,1.3,1.0,1998,1
173,1998-05-30 09:43:00,Froombosch,53.203,6.777,3.0,0.9,1.0,1998,0
174,1998-07-14 12:12:00,Roswinkel,52.833,7.053,2.0,3.3,,1998,3
175,1998-08-14 19:25:00,Froombosch,53.192,6.803,3.0,1.1,1.0,1998,1
176,1998-08-24 04:28:00,Wirdum,53.298,6.81,3.0,2.4,1.0,1998,2
177,1998-09-05 20:36:00,Emmen,52.742,6.875,3.0,1.9,,1998,1
178,1998-10-04 03:28:00,Zeerijp,53.353,6.748,3.0,1.0,1.0,1998,1
179,1998-10-20 21:32:00,Deurze,52.974,6.607,3.0,0.8,,1998,0
180,1998-11-01 17:48:00,Eleveld,52.955,6.572,3.0,1.3,,1998,1
181,1998-12-12 07:51:00,Zandeweer,53.392,6.698,3.0,2.0,1.0,1998,2
182,1998-12-26 23:48:00,Schildwolde,53.215,6.83,3.0,1.6,1.0,1998,1
183,1999-01-11 09:35:00,Roswinkel,52.837,7.057,2.0,1.1,,1999,1
184,1999-01-13 19:36:00,'t Zandt,53.359,6.777,3.0,2.1,1.0,1999,2
185,1999-01-31 04:53:00,Steendam,53.255,6.825,3.0,0.4,1.0,1999,0
186,1999-03-05 19:00:00,Kiel-Windeweer,53.101,6.792,3.0,1.0,,1999,1
187,1999-03-06 05:56:00,Wirdum,53.325,6.778,3.0,1.6,1.0,1999,1
188,1999-03-12 19:06:00,Roswinkel,52.833,7.051,2.0,1.3,,1999,1
